Ticker,Total Return,Win Rate,Trades,Final Balance
ASTRUSDT,-0.4787878829390866,34.45945945945946,148,9952.121211706091
AVNTUSDT,8.6818011234207,83.33333333333334,6,10868.18011234207
AVAAIUSDT,-3.657392715499718,28.000000000000004,50,9634.260728450028
AVAUSDT,-2.6159705697038587,29.545454545454547,44,9738.402943029614
ARPAUSDT,-12.57678996759936,30.909090909090907,220,8742.321003240064
ALPINEUSDT,-1.4521957624973219,31.03448275862069,29,9854.780423750268
ARBUSDT,5.818344207874361,38.69047619047619,168,10581.834420787436
COAIUSDT,-0.2099400506283382,33.33333333333333,6,9979.005994937166
AUSDT,-2.678158118889842,18.181818181818183,22,9732.184188111016
ANKRUSDT,0.15723640539570624,36.57587548638132,257,10015.72364053957
ARUSDT,4.935090967057659,35.714285714285715,238,10493.509096705766
HANAUSDT,-1.8642148577659283,20.0,5,9813.578514223407
1000CATUSDT,11.006514810662665,45.65217391304348,46,11100.651481066267
BABYUSDT,3.2145960494495736,44.44444444444444,36,10321.459604944957
B2USDT,-1.0402995891281899,30.76923076923077,26,9895.970041087181
B3USDT,-1.6352293197249672,29.629629629629626,27,9836.477068027503
BASUSDT,4.001894837656091,55.55555555555556,9,10400.18948376561
AUCTIONUSDT,4.569884061437242,38.0,100,10456.988406143724
AIOUSDT,-4.038294893860057,12.5,8,9596.170510613994
ATAUSDT,-5.358615549311308,31.428571428571427,245,9464.13844506887
ARKUSDT,1.8621062492270901,36.09022556390977,133,10186.210624922709
AEROUSDT,-1.5823910514546151,34.48275862068966,58,9841.760894854538
API3USDT,-9.315233503627296,31.862745098039213,204,9068.47664963727
BLESSUSDT,-5.0923645175898855,22.22222222222222,9,9490.763548241011
APTUSDT,-5.696417387162146,32.369942196531795,173,9430.358261283785
ARKMUSDT,0.45588997754266525,36.434108527131784,129,10045.588997754267
ASRUSDT,-1.9056636513628655,29.03225806451613,31,9809.433634863713
ALPACAUSDT,1.5373768425042182,41.02564102564102,39,10153.737684250422
ATHUSDT,-2.275555023487941,22.727272727272727,22,9772.444497651206
BARDUSDT,1.245512167013876,100.0,1,10124.551216701388
APEUSDT,10.14935351137814,37.19806763285024,207,11014.935351137814
AMBUSDT,-7.643796087776973,29.268292682926827,123,9235.620391222303
ARIAUSDT,2.1947467771101583,60.0,5,10219.474677711016
1000SHIBUSDT,30.254854228302918,42.62295081967213,244,13025.485422830292
BTRUSDT,4.009131764360227,66.66666666666666,6,10400.913176436023
ALLUSDT,-0.9040032924555635,22.22222222222222,9,9909.599670754444
AIOTUSDT,5.875229178481859,56.52173913043478,23,10587.522917848186
ALGOUSDT,-6.251986111259121,34.883720930232556,301,9374.801388874088
ASTERUSDT,-3.458763454551608,0.0,4,9654.12365454484
AGIXUSDT,-1.6484742122156422,35.064935064935064,77,9835.152578778436
AIAUSDT,2.4536523465765825,60.0,5,10245.365234657658
ACHUSDT,4.262838453030599,37.88819875776397,161,10426.28384530306
AGTUSDT,2.592072918389458,41.66666666666667,24,10259.207291838946
AEVOUSDT,-6.014498912705167,30.303030303030305,99,9398.550108729483
AKTUSDT,-6.8496618450380815,24.137931034482758,58,9315.033815496192
AIXBTUSDT,7.669298811830795,46.666666666666664,45,10766.92988118308
ARCUSDT,7.156930186306999,37.83783783783784,37,10715.6930186307
1000PEPEUSDT,10.69051761776942,40.88050314465409,159,11069.051761776942
AIUSDT,5.132905911664348,39.34426229508197,122,10513.290591166435
1INCHUSDT,-4.725650842082869,33.58490566037736,265,9527.434915791713
ADAUSDT,4.009755806818794,36.16352201257861,318,10400.97558068188
AKEUSDT,-0.4520130318812153,33.33333333333333,3,9954.798696811878
AERGOUSDT,-0.5090544352336109,29.03225806451613,31,9949.094556476639
AI16ZUSDT,3.5774399197484854,40.0,50,10357.743991974849
AAVEUSDT,-9.296037718789977,32.087227414330215,321,9070.396228121002
ALCHUSDT,-1.017712652807568,35.13513513513514,37,9898.228734719243
AGLDUSDT,-3.439599292544135,32.17391304347826,115,9656.040070745586
ALPHAUSDT,10.32753575803812,35.61151079136691,278,11032.753575803812
AINUSDT,2.735323973525574,47.05882352941176,17,10273.532397352557
ANIMEUSDT,-1.000120504158931,34.146341463414636,41,9899.987949584107
0GUSDT,0.25360658312894885,37.5,8,10025.360658312895
ALICEUSDT,-14.639872582904973,30.158730158730158,252,8536.012741709503
1000FLOKIUSDT,-6.53050461913499,28.75816993464052,153,9346.949538086501
1000000MOGUSDT,1.1979154369637943,36.734693877551024,49,10119.79154369638
1000CHEEMSUSDT,0.9474240320797254,31.372549019607842,51,10094.742403207973
ALTUSDT,0.5985423185044602,37.735849056603776,106,10059.854231850446
ACXUSDT,-1.6323932686524676,30.23255813953488,43,9836.760673134753
1000000BOBUSDT,-0.4347746352371541,43.75,16,9956.522536476285
1000XECUSDT,-6.849032220593871,32.78688524590164,244,9315.096777940613
1MBABYDOGEUSDT,-3.0557270410147246,28.07017543859649,57,9694.427295898528
1000WHYUSDT,-5.411862952417432,30.18867924528302,53,9458.813704758257
1000XUSDT,1.4783872296997835,33.9622641509434,53,10147.838722969978
1000SATSUSDT,1.066768442221237,34.82142857142857,112,10106.676844222124
1000LUNCUSDT,0.8817291966735684,37.80487804878049,164,10088.172919667357
A2ZUSDT,-0.7398289045445381,30.0,10,9926.017109545546
ACTUSDT,-3.3052229778904256,31.48148148148148,54,9669.477702210957
ACEUSDT,-5.677358768615795,32.0,100,9432.26412313842
1000BONKUSDT,-1.2644904114011115,34.74576271186441,118,9873.550958859889
1000RATSUSDT,-18.03076341356011,23.140495867768596,121,8196.92365864399
CHZUSDT,1.0627803472249797,35.14492753623188,276,10106.278034722498
BRUSDT,4.402167383868727,46.15384615384615,26,10440.216738386873
CHRUSDT,-15.41813762167196,32.015810276679844,253,8458.186237832804
BIDUSDT,-7.652663408994958,22.857142857142858,35,9234.733659100504
BADGERUSDT,2.833943919856574,39.50617283950617,81,10283.394391985657
ATOMUSDT,-10.411799914816948,31.962025316455694,316,8958.820008518305
BANANAS31USDT,6.920725510665471,43.75,16,10692.072551066547
BANANAUSDT,3.968995624586132,42.857142857142854,77,10396.899562458613
BTCDOMUSDT,4.780167418934289,39.83402489626556,241,10478.016741893429
BANUSDT,2.7859571831852556,31.372549019607842,51,10278.595718318526
BBUSDT,7.624453844551226,42.68292682926829,82,10762.445384455123
BCHUSDT,0.5234393582789016,34.530386740331494,362,10052.34393582789
CFXUSDT,-2.2473238947739995,31.125827814569533,151,9775.2676105226
BSVUSDT,-5.946829083605462,29.09090909090909,110,9405.317091639454
AVAXUSDT,13.176326165706358,38.88888888888889,306,11317.632616570636
FLUIDUSDT,1.269475389900017,100.0,2,10126.947538990002
BEAMXUSDT,-2.9714167534436093,35.84905660377358,106,9702.858324655639
COOKIEUSDT,2.6874492728197947,34.285714285714285,35,10268.74492728198
CAKEUSDT,8.059180413818776,41.66666666666667,120,10805.918041381878
BTCUSDT,-5.104887840577812,32.917705735660846,401,9489.511215942219
BERAUSDT,4.2500961491683125,42.857142857142854,35,10425.009614916831
AWEUSDT,-4.079045012453025,15.384615384615385,26,9592.095498754697
AXLUSDT,1.937848834619672,40.27777777777778,72,10193.784883461967
AXSUSDT,-3.6960845297704146,31.66023166023166,259,9630.391547022959
BULLAUSDT,-5.7764092557716324,25.0,16,9422.359074422837
CHESSUSDT,-4.516143814838451,28.30188679245283,53,9548.385618516155
BDXNUSDT,-3.5818963433789395,25.0,24,9641.810365662106
CELRUSDT,13.464166703964112,36.67953667953668,259,11346.416670396411
CELOUSDT,13.00910324214794,37.76824034334764,233,11300.910324214794
CETUSUSDT,2.9446212015921085,39.21568627450981,51,10294.46212015921
CHILLGUYUSDT,2.0587663956171127,35.13513513513514,37,10205.876639561711
BANKUSDT,0.43963058539042327,37.93103448275862,29,10043.963058539042
C98USDT,0.8407145845348531,36.72566371681416,226,10084.071458453485
CGPTUSDT,0.6841529198088574,40.0,45,10068.415291980886
BAKEUSDT,15.200618628221873,38.46153846153847,260,11520.061862822187
BROCCOLI714USDT,-1.471941248551484,28.125,32,9852.805875144852
COSUSDT,-4.503393389688135,26.785714285714285,56,9549.660661031186
CTKUSDT,2.8211517565418034,42.857142857142854,21,10282.11517565418
BELUSDT,-11.455861575448308,31.046931407942242,277,8854.41384245517
FLOCKUSDT,-1.0776737706771382,25.0,8,9892.232622932286
BSWUSDT,10.166206726785568,34.84848484848485,66,11016.620672678557
CROSSUSDT,2.9710357539132928,45.45454545454545,11,10297.10357539133
BNTUSDT,-4.2463338072828805,23.728813559322035,118,9575.366619271712
BROCCOLIF3BUSDT,-0.43078756132601487,45.45454545454545,11,9956.921243867399
BNBUSDT,-0.09730912585455372,34.06940063091483,317,9990.269087414545
BOMEUSDT,2.0103822361766834,34.831460674157306,89,10201.038223617668
BRETTUSDT,-4.008662673068994,28.35820895522388,67,9599.1337326931
BNXUSDT,9.298248042399573,39.62264150943396,106,10929.824804239957
BONDUSDT,-7.195757573288974,24.59016393442623,61,9280.424242671103
CATIUSDT,-4.5021546000923625,27.86885245901639,61,9549.784539990764
BUSDT,1.1145571182376626,33.33333333333333,24,10111.455711823766
HOLOUSDT,1.2239290106965202,50.0,4,10122.392901069652
MIRAUSDT,3.915511392806693,80.0,5,10391.55113928067
BLZUSDT,0.12211965928829159,36.59574468085106,235,10012.21196592883
CARVUSDT,-0.7746411851890661,26.666666666666668,15,9922.535881481093
BANDUSDT,-6.355805266530042,32.05574912891986,287,9364.419473346996
BALUSDT,9.824390268370262,39.3574297188755,249,10982.439026837026
BMTUSDT,4.1170743127816785,38.70967741935484,31,10411.707431278168
BIGTIMEUSDT,-7.19218228307489,31.48148148148148,108,9280.781771692511
