Ticker,Leverage,Total Return,Win Rate,Trades,Final Balance
ZRXUSDT,1,15.09340434351634,45.19230769230769,104,1150.9340434351634
LINAUSDT,1,14.897862375459637,48.484848484848484,66,1148.9786237545964
NFPUSDT,1,14.818626492716247,44.761904761904766,105,1148.1862649271625
HIFIUSDT,1,14.403131504984866,35.714285714285715,98,1144.0313150498487
WLDUSDT,1,14.278780810623767,43.22033898305085,118,1142.7878081062377
ZECUSDT,1,13.454970118154053,41.34615384615385,104,1134.5497011815405
PEOPLEUSDT,1,13.43732265759279,38.095238095238095,126,1134.373226575928
1000CATUSDT,1,13.359164611814345,48.148148148148145,54,1133.5916461181434
DOGEUSDT,1,13.31950324529762,45.370370370370374,108,1133.1950324529762
TOKENUSDT,1,13.096346348939733,38.01652892561984,121,1130.9634634893973
1000PEPEUSDT,1,12.359632075598801,41.221374045801525,131,1123.596320755988
ARBUSDT,1,11.880193813177788,44.06779661016949,118,1118.801938131778
VINEUSDT,1,11.827331371403057,44.0,50,1118.2733137140306
PHBUSDT,1,11.718221367800153,43.47826086956522,115,1117.1822136780015
OPUSDT,1,11.631900691717306,40.54054054054054,111,1116.319006917173
PERPUSDT,1,11.368431517461271,41.02564102564102,117,1113.6843151746127
LUNA2USDT,1,11.236202964415634,42.45283018867924,106,1112.3620296441563
MANTAUSDT,1,11.071943039065491,41.37931034482759,116,1110.719430390655
JELLYJELLYUSDT,1,10.775059926347854,38.095238095238095,42,1107.7505992634785
FLOWUSDT,1,10.593553257457144,43.689320388349515,103,1105.9355325745714
BSWUSDT,1,10.166206726785504,34.84848484848485,66,1101.662067267855
STXUSDT,1,10.11725592315131,44.95412844036697,109,1101.172559231513
KSMUSDT,1,10.110881471313087,44.73684210526316,114,1101.1088147131309
AIXBTUSDT,1,10.102326625216074,48.148148148148145,54,1101.0232662521607
SUPERUSDT,1,9.966059922799468,41.34615384615385,104,1099.6605992279947
1000SHIBUSDT,1,9.791985762232684,40.49586776859504,121,1097.9198576223268
IOUSDT,1,9.696669205595208,38.70967741935484,93,1096.966692055952
COTIUSDT,1,9.463389426016874,39.31623931623932,117,1094.6338942601687
USUALUSDT,1,9.428894756242016,47.16981132075472,53,1094.2889475624202
ORDIUSDT,1,9.261287707471093,41.66666666666667,108,1092.612877074711
SUSDT,1,9.245842293316105,52.94117647058824,51,1092.458422933161
GRIFFAINUSDT,1,9.15553887042554,43.103448275862064,58,1091.5553887042554
THETAUSDT,1,9.122257144155991,39.682539682539684,126,1091.22257144156
MTLUSDT,1,9.119176278115878,40.33613445378151,119,1091.1917627811588
CKBUSDT,1,9.110383190601555,36.84210526315789,114,1091.1038319060156
DEFIUSDT,1,9.083794178573067,41.83673469387755,98,1090.8379417857307
DOTUSDT,1,9.020192553523817,39.568345323741006,139,1090.2019255352382
UNIUSDT,1,8.942014142742664,36.93693693693694,111,1089.4201414274266
XAIUSDT,1,8.820068619773314,39.784946236559136,93,1088.2006861977331
BANANAS31USDT,1,8.814760297169231,46.15384615384615,26,1088.1476029716923
HIGHUSDT,1,8.756607565747345,38.93805309734513,113,1087.5660756574734
GOATUSDT,1,8.706757992750681,42.592592592592595,54,1087.0675799275068
KOMAUSDT,1,8.378984184713453,37.03703703703704,54,1083.7898418471345
PUMPBTCUSDT,1,8.352546750777924,50.0,20,1083.5254675077792
