Open time,Open,High,Low,Close,Volume
2025-04-01 09:00:00,0.07541,0.15066,0.07541,0.12348,3653575469.0
2025-05-01 09:00:00,0.12346,0.21945,0.08881,0.0964,13945680168.0
2025-06-01 09:00:00,0.09641,0.10504,0.05973,0.07225,2456772791.0
2025-07-01 09:00:00,0.07223,0.1235,0.06017,0.0844,5724529515.0
2025-08-01 09:00:00,0.0844,0.10805,0.07839,0.08282,1934489916.0
2025-09-01 09:00:00,0.08285,0.108,0.07524,0.08283,1925962629.0
2025-10-01 09:00:00,0.08288,0.23,0.08208,0.1711,9201578333.0
2025-11-01 09:00:00,0.17111,0.18186,0.10612,0.11593,993304828.0
2025-12-01 09:00:00,0.11594,0.1326,0.07414,0.07555,833763402.0
2026-01-01 09:00:00,0.07554,0.138,0.072,0.0801,5699148103.0
2026-02-01 09:00:00,0.08012,0.08182,0.04868,0.06207,1179069516.0
