Open time,Open,High,Low,Close,Volume
2025-01-01 09:00:00,0.9477,1.0328,0.4256,0.4606,3448604549.7
2025-02-01 09:00:00,0.4605,0.4746,0.2499,0.2973,1715534509.5
2025-03-01 09:00:00,0.2974,0.3231,0.2001,0.2377,1580157109.7
2025-04-01 09:00:00,0.2378,0.3051,0.1523,0.2916,1654276532.3
2025-05-01 09:00:00,0.2917,0.3543,0.2283,0.2411,1657464453.8
2025-06-01 09:00:00,0.2411,0.2643,0.18,0.1965,534427926.1
2025-07-01 09:00:00,0.1964,0.2724,0.1847,0.2148,730281792.1
2025-08-01 09:00:00,0.2147,0.2302,0.1858,0.1956,608913580.4
2025-09-01 09:00:00,0.1956,0.2457,0.1666,0.1711,640006260.8
2025-10-01 09:00:00,0.1711,0.183,0.0322,0.1277,679881697.4
2025-11-01 09:00:00,0.1277,0.1324,0.0795,0.0827,602660129.3
2025-12-01 09:00:00,0.0827,0.0862,0.06284,0.07504,476370939.7
2026-01-01 09:00:00,0.07491,0.09518,0.04467,0.04723,775840616.7
2026-02-01 09:00:00,0.04726,0.06943,0.03354,0.04524,3642325562.9
