Open time,Open,High,Low,Close,Volume
2023-10-01 09:00:00,0.2412,0.2596,0.2216,0.235,667706583.0
2023-11-01 09:00:00,0.2351,0.3243,0.1718,0.2648,2791769439.0
2023-12-01 09:00:00,0.2648,0.4245,0.263,0.368,1813242598.0
2024-01-01 09:00:00,0.3681,1.209,0.2842,0.302,11734215792.0
2024-02-01 09:00:00,0.302,0.4165,0.2902,0.3562,5205611050.0
2024-03-01 09:00:00,0.3563,0.5286,0.2892,0.4123,4026601404.0
2024-04-01 09:00:00,0.4123,0.427,0.2529,0.2855,2272582163.0
2024-05-01 09:00:00,0.2855,0.3641,0.2638,0.3001,3171057544.0
2024-06-01 09:00:00,0.3001,0.3063,0.1926,0.2177,869651716.0
2024-07-01 09:00:00,0.2178,0.2474,0.1488,0.2161,1697862974.0
2024-08-01 09:00:00,0.2162,0.2255,0.1415,0.187,1354793757.0
2024-09-01 09:00:00,0.1868,0.2472,0.1667,0.2167,1250720357.0
2024-10-01 09:00:00,0.2166,0.2443,0.1925,0.2053,1140073363.0
2024-11-01 09:00:00,0.2053,0.3953,0.18,0.3311,3256972441.0
2024-12-01 09:00:00,0.3311,0.3794,0.202,0.2729,3471561843.0
2025-01-01 09:00:00,0.2729,0.319,0.2392,0.2514,2778027745.0
2025-02-01 09:00:00,0.2514,0.2625,0.1697,0.1931,1039818160.0
2025-03-01 09:00:00,0.1932,0.2108,0.1501,0.1563,758234794.0
2025-04-01 09:00:00,0.1563,0.197,0.1244,0.1822,831016254.0
2025-05-01 09:00:00,0.1823,0.2067,0.1516,0.1598,455452792.0
2025-06-01 09:00:00,0.1597,0.1748,0.1332,0.1502,349995619.0
2025-07-01 09:00:00,0.1503,0.202,0.1424,0.168,656543170.0
2025-08-01 09:00:00,0.168,0.1845,0.146,0.1593,454375369.0
2025-09-01 09:00:00,0.1593,0.1734,0.1374,0.1407,272949880.0
2025-10-01 09:00:00,0.1408,0.1551,0.0741,0.1081,428821044.0
2025-11-01 09:00:00,0.1081,0.1226,0.0834,0.0931,564337572.0
2025-12-01 09:00:00,0.0933,0.0964,0.0722,0.08295,673667515.0
2026-01-01 09:00:00,0.08297,0.10183,0.06622,0.07369,631433312.0
2026-02-01 09:00:00,0.07369,0.07705,0.05618,0.0633,496647031.0
