Timestamp,Action,Symbol,Side,Price,Amount(Coin),Value(USDT),PnL(USDT),Fee(USDT),Balance(USDT)
2025-08-09 23:00:23,ENTRY,ENA/USDT,Long,0.7289,121.0,88.1969,0,0.04409845,371.29971905
2025-08-09 23:00:26,ENTRY,UNI/USDT,Long,10.802,8.0,86.416,0,0.043208,371.19290134
2025-08-10 01:00:15,ENTRY,HFT/USDT,Short,0.1051,1913.0,201.0563,0,0.10052815,375.06666427
2025-08-10 03:00:14,ENTRY,HFT/USDT,Short,0.13027,1811.0,235.91897,0,0.11795948,363.54039107
2025-08-10 04:00:17,ENTRY,HFT/USDT,Long,0.11963,3048.0,364.63224,0,0.18231612,385.29980927
2025-08-10 10:00:15,ENTRY,GLM/USDT,Short,0.27718,221.0,61.25678,0,0.03062839,381.58238063
2025-08-10 11:00:16,ENTRY,GLM/USDT,Long,0.26743,36.0,9.62748,0,0.00481374,388.33713116
2025-08-10 12:00:17,ENTRY,MORPHO/USDT,Long,2.1515,31.1,66.91165,0,0.03345582,387.85189159
2025-08-10 13:00:16,ENTRY,MORPHO/USDT,Long,2.1471,34.2,73.43082,0,0.0367154,390.31716261
2025-08-10 15:00:16,ENTRY,FARTCOIN/USDT,Long,1.0925,169.7,185.39725,0,0.09269862,390.0170821
2025-08-10 15:00:19,ENTRY,SAGA/USDT,Long,0.2816,658.3,185.37728,0,0.09268864,390.02348478
2025-08-10 17:00:16,ENTRY,KOMA/USDT,Long,0.0243,1309.0,31.8087,0,0.01590435,386.18299068
2025-08-10 17:00:20,ENTRY,KSM/USDT,Long,15.326,1.0,15.326,0,0.007663,386.16181882
2025-08-11 00:00:16,ENTRY,MYRO/USDT,Short,0.02356,5163.0,121.64028,0,0.06082014,385.1823011
2025-08-11 00:00:19,ENTRY,CHILLGUY/USDT,Short,0.05853,684.0,40.03452,0,0.02001725,385.06534718
2025-08-11 00:00:22,ENTRY,UNI/USDT,Short,11.039,11.0,121.429,0,0.0607145,385.07613567
2025-08-11 02:00:15,ENTRY,CHILLGUY/USDT,Short,0.06117,228.0,13.94676,0,0.00697338,384.54628738
2025-08-11 04:00:16,ENTRY,MYRO/USDT,Short,0.02552,13961.0,356.28472,0,0.17814236,381.31358504
2025-08-11 05:00:15,ENTRY,CYBER/USDT,Short,1.959,6.8,13.3212,0,0.0066606,388.12370142
2025-08-11 11:00:15,ENTRY,FARTCOIN/USDT,Short,1.0995,334.8,368.1126,0,0.1840563,387.76716048
2025-08-11 12:00:16,ENTRY,LISTA/USDT,Short,0.3386,210.0,71.106,0,0.035553,386.2721847
2025-08-11 12:00:20,ENTRY,HIPPO/USDT,Short,0.00237,48789.0,115.62993,0,0.05781496,386.05859597
