Ticker,Final Balance,Return (%),Win Rate (%),Profit Factor,MDD (%),Total Trades,Score
LAUSDT,290.86,-70.91,31.63,0.89,-77.4,215,0.35906505102040814
SXTUSDT,290.38,-70.96,30.87,0.88,-84.18,230,0.3189199342568678
PONKEUSDT,287.84,-71.22,34.97,0.99,-74.29,469,0.4598260061097091
USELESSUSDT,286.08,-71.39,34.2,0.91,-79.59,231,0.38617694503040084
CROSSUSDT,284.87,-71.51,30.53,0.88,-88.15,190,0.30136174985978686
币安人生USDT,280.46,-71.95,31.86,0.78,-78.05,113,0.3143681214421252
DEGENUSDT,278.31,-72.17,35.19,0.99,-81.91,503,0.420191774213002
VELVETUSDT,277.53,-72.25,32.58,0.91,-86.22,221,0.33991974317817014
FLOWUSDT,274.15,-72.58,33.95,1.04,-87.92,1131,0.3970760233918129
BEAMXUSDT,273.38,-72.66,35.99,1.03,-85.88,842,0.42667702578268885
RSRUSDT,271.86,-72.81,35.59,1.07,-94.27,2141,0.39971974388579834
BAKEUSDT,270.73,-72.93,35.9,1.07,-90.95,1688,0.4177596519847744
ZILUSDT,270.51,-72.95,34.57,1.06,-86.81,1866,0.4173123790001139
TIAUSDT,269.0,-73.1,34.71,1.03,-81.24,850,0.43471911478599223
DUSKUSDT,268.66,-73.13,34.67,1.05,-97.85,1451,0.3682701062215478
SCRUSDT,268.24,-73.18,34.08,0.97,-81.15,449,0.4024053560559951
ETHWUSDT,267.94,-73.21,33.48,1.01,-86.3,681,0.387340206185567
PLUMEUSDT,267.68,-73.23,32.86,0.91,-75.98,280,0.38844634970122105
OPUSDT,266.66,-73.33,35.0,1.05,-95.19,1243,0.38205634681359807
CELOUSDT,266.74,-73.33,34.63,1.05,-86.95,1314,0.41343376918703817
ACXUSDT,265.53,-73.45,32.01,0.94,-77.65,353,0.3825734265734265
LUNA2USDT,264.92,-73.51,33.93,1.05,-90.56,1055,0.389105504587156
VIDTUSDT,258.03,-74.2,33.11,0.96,-88.91,293,0.35352686019352686
ONUSDT,257.32,-74.27,23.88,0.47,-83.66,67,0.13257264351523743
TONUSDT,256.75,-74.33,30.97,0.95,-85.42,507,0.34044781300624855
ARKUSDT,255.35,-74.46,33.72,1.02,-90.68,768,0.37515706806282717
SIGNUSDT,253.96,-74.6,29.17,0.79,-83.07,192,0.27410848102771507
VANAUSDT,251.47,-74.85,32.72,0.94,-83.45,379,0.3642013025458851
DMCUSDT,250.58,-74.94,33.62,0.9,-85.73,235,0.34887582151504665
JTOUSDT,249.98,-75.0,35.04,1.02,-83.49,799,0.4230181086519115
GMXUSDT,249.43,-75.06,34.23,1.01,-87.51,818,0.3906033216585696
MUSDT,247.36,-75.26,33.05,0.89,-86.53,236,0.33605049697246653
SUPERUSDT,245.44,-75.46,35.1,1.03,-87.76,849,0.4073118521856693
HYPERUSDT,242.68,-75.73,32.94,0.9,-88.93,255,0.32965639942177244
TLMUSDT,241.28,-75.87,34.41,1.02,-80.77,869,0.42923076923076925
ICNTUSDT,240.07,-75.99,35.29,0.9,-88.95,255,0.35309616453585324
LUMIAUSDT,236.16,-76.38,33.51,0.94,-79.22,379,0.3926626776364996
OBOLUSDT,236.02,-76.4,32.8,0.89,-91.75,250,0.3147385444743935
BRETTUSDT,232.43,-76.76,35.05,1.0,-88.03,639,0.39368752106031674
COOKIEUSDT,231.36,-76.86,34.35,0.97,-86.23,457,0.38197294508769913
TAKEUSDT,230.56,-76.94,28.32,0.66,-84.83,113,0.21777001048584413
PHAUSDT,229.09,-77.09,31.94,0.92,-83.3,360,0.34857413997627523
STRKUSDT,227.13,-77.29,34.5,1.0,-84.35,687,0.40421792618629176
ARCUSDT,226.88,-77.31,37.5,1.02,-87.44,632,0.4324966078697422
SANTOSUSDT,225.11,-77.49,32.15,0.89,-82.05,339,0.3445334136062613
1MBABYDOGEUSDT,222.38,-77.76,33.4,0.96,-79.61,470,0.39776702642352063
BONDUSDT,220.72,-77.93,31.65,0.95,-84.07,417,0.35344422240507817
VANRYUSDT,218.26,-78.17,34.88,1.0,-78.17,691,0.44057092332954406
BSWUSDT,214.24,-78.58,32.32,0.99,-92.58,461,0.34191921350715965
ASTRUSDT,212.75,-78.72,34.1,1.03,-83.4,827,0.4161492890995261
DAMUSDT,208.91,-79.11,35.11,0.9,-82.55,225,0.3782046678635548
FARTCOINUSDT,207.3,-79.27,36.24,1.01,-86.46,643,0.4185044591813401
UBUSDT,203.46,-79.65,29.49,0.76,-81.99,156,0.270061453187131
