Leverage,Final Balance,Return (%),Win Rate (%),MDD (%),Profit Factor,Total Trades,Ticker,Score
1,971.3854032671159,-2.861459673288414,34.09915356711004,-10.834764793027963,1.020909829581006,827,ASTRUSDT,-0.24178424525801667
5,377.0489244354045,-62.29510755645955,39.76334617501376,-69.12520625756184,1.0201822906516864,3634,ASTRUSDT,-0.888341166907328
10,4.984298964887267,-99.50157010351128,41.83733177296665,-99.50157010351128,0.9381139763807577,5127,ASTRUSDT,-0.9900499066932978
20,-11.417966933481207,-101.14179669334813,43.65893146249326,-101.14179669334813,0.9999210545289277,1853,ASTRUSDT,-0.9902096885665501
1,1037.2429792526696,3.7242979252669555,39.726027397260275,-5.671553020262214,1.1098343082146556,146,AVNTUSDT,0.5582355283628666
5,1040.685846112056,4.068584611205597,45.39007092198582,-25.71349052906285,1.077898225825139,423,AVNTUSDT,0.15230449224818426
10,1090.6987858058392,9.069878580583918,48.19047619047619,-48.34888172908837,1.0960294892066855,525,AVNTUSDT,0.1837909647147635
20,523.9914722228176,-47.60085277771824,48.51657940663176,-83.00726504754118,1.037102408408682,573,AVNTUSDT,-0.5666278119015074
1,904.6596133927814,-9.534038660721865,36.17021276595745,-17.793693477569477,0.9681803369631286,564,AVAAIUSDT,-0.5072998914290513
5,244.74195516490218,-75.52580448350979,43.022582513028375,-82.20683137866403,0.9422382468249911,1727,AVAAIUSDT,-0.9076875447858501
10,41.38125679587909,-95.8618743204121,45.918878317476214,-97.7184429954981,0.8955230357340477,1997,AVAAIUSDT,-0.9710634751885596
20,2.4993865246747955,-99.75006134753251,48.72746553552492,-99.87378843136942,0.9003357132192671,1886,AVAAIUSDT,-0.9888600685935232
1,847.0091780979345,-15.299082190206548,30.681818181818183,-16.704191108565077,0.846295923243176,352,AVAUSDT,-0.8641503074831266
5,539.5995761209875,-46.040042387901245,38.99049012435991,-48.78601723457757,0.9999832981835295,1367,AVAUSDT,-0.9247584953617327
10,108.14244207272566,-89.18575579272743,41.0571276027763,-92.09764400526377,0.9806909540363369,1873,AVAUSDT,-0.957980803334667
20,4.920823583822997,-99.50791764161771,43.70645610775662,-99.65649539254609,0.9652195351855347,2153,AVAUSDT,-0.9885891342982974
1,734.892470917631,-26.510752908236896,31.206657420249652,-33.950345942952225,0.9444389101180849,1442,ARPAUSDT,-0.7585261946050299
5,66.12409032480895,-93.3875909675191,37.72834147223729,-94.42756522902145,0.9995887392734965,5529,ARPAUSDT,-0.978622798804449
10,4.997010457345944,-99.5002989542654,40.54379624849423,-99.60318549180556,1.0062034666625868,5811,ARPAUSDT,-0.9890372602800933
20,2.4704176139939866,-99.75295823860061,42.70346117867165,-99.84724150877497,0.9422199808215539,2138,ARPAUSDT,-0.9891491006218633
1,1073.1255445685256,7.312554456852559,35.21739130434783,-6.356072493118768,1.1587384490495272,230,ALPINEUSDT,0.9940840664217327
5,592.4867965981708,-40.751320340182914,35.67774936061381,-43.26315628832245,0.9459924621893839,782,ALPINEUSDT,-0.9206600648796022
10,367.6560544094676,-63.23439455905325,40.33613445378151,-66.60351918796812,0.9609143540593497,1071,ALPINEUSDT,-0.9353713433650289
20,61.415103800483564,-93.85848961995164,43.15452361889512,-94.80859894682463,0.9336574334707852,1249,ALPINEUSDT,-0.9796457797284424
1,985.205386327934,-1.4794613672066022,34.088200238379024,-15.843795335602737,1.0281883474460554,839,ARBUSDT,-0.08783420468660434
5,441.7572671119028,-55.82427328880972,38.7182516243355,-62.906171423609145,1.0415639932480674,3386,ARBUSDT,-0.8735349348151735
10,37.0397068197127,-96.29602931802873,41.85102496448143,-97.21299426593146,1.0369839987790797,4927,ARBUSDT,-0.9804815547857938
20,2.4976784338621916,-99.75023215661378,44.503171247357294,-99.75820848732909,0.9311791025827107,3784,ARBUSDT,-0.9899960872086956
1,1294.704811543708,29.470481154370802,44.44444444444444,-13.945217950110338,1.3147660170133015,225,COAIUSDT,1.9719003933397456
5,1211.6803055496014,21.168030554960136,42.98850574712644,-36.95632953055399,1.0828576866284971,435,COAIUSDT,0.5576943507648797
10,1338.8471396964833,33.88471396964833,44.88517745302714,-64.71937473288905,1.0700074902320518,479,COAIUSDT,0.5155970230600936
20,1003.6742621355069,0.3674262135506865,49.30417495029821,-85.05779705128252,1.049339673901894,503,COAIUSDT,0.004269528458086538
1,943.2345874017801,-5.676541259821988,27.586206896551722,-6.737457349996788,0.8453471325048821,145,AUSDT,-0.7336442713735081
5,685.6650650910382,-31.43349349089618,34.859154929577464,-36.36951577885858,0.9445001943272718,568,AUSDT,-0.8411533528266737
10,388.65569238870427,-61.13443076112958,37.91079812206573,-68.07057343464737,0.9855635217160572,852,AUSDT,-0.8851009586444689
20,129.4655599695063,-87.05344400304936,42.46704331450094,-90.62295915962835,1.0338380352193526,1062,AUSDT,-0.9501269638255425
1,930.4692124489193,-6.953078755108072,33.90903857225101,-17.491366378724095,1.017500980706188,1737,ANKRUSDT,-0.37601757559182786
5,18.607839485795484,-98.13921605142045,37.66233766233766,-98.19832109638683,0.9364274677057116,6699,ANKRUSDT,-0.9893233571570501
10,4.988399571486314,-99.50116004285137,40.666414237031425,-99.50919228362852,0.7532810220475021,2641,ANKRUSDT,-0.989970745780818
20,2.493196758881113,-99.75068032411188,44.85875706214689,-99.77277021105958,0.8514635519337875,1770,ANKRUSDT,-0.9898574795075393
1,888.2815800537714,-11.171841994622856,34.43337484433375,-21.860034003258644,1.0023733860753101,1606,ARUSDT,-0.4887062719605026
5,72.14924589368184,-92.7850754106318,40.101121820192766,-93.83898295865252,0.9894886151749961,6329,ARUSDT,-0.9783432141093692
